Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	12	75.0	2.1571256477900605E-8	P35749, P04899, P04406, P52209, P62834, P30086, Q9Y2J8, Q06323, P02787, P05023, P01024	16	2242	20666	6.913247100802854	1.9198400016406936E-6	1.919841826533154E-6	1.919841826533154E-6
GOTERM_MF_DIRECT	GO:0050661~NADP binding	3	18.75	5.045816083537421E-4	P04406, P52209	16	43	19208	83.75581395348837	0.036173281894737896	0.036834457409823176	0.035320712584761944
UP_KW_PTM	KW-0488~Methylation	6	37.5	0.0011265134411909724	P35749, P04406, P62834, P02545, P02787	13	1057	14268	6.230114256604323	0.01676510146896626	0.01802421505905556	0.015771188176673615
UP_SEQ_FEATURE	MUTAGEN:W->F: Increased free radical-induced aggregation.	2	12.5	0.0014627722465980358	P04406	16	2	20502	1281.375	0.22485774123084135	0.02121019757567152	0.01999122070350649
UP_SEQ_FEATURE	MUTAGEN:M->L: Increased resistance to free radical-induced aggregation.	2	12.5	0.0014627722465980358	P04406	16	2	20502	1281.375	0.22485774123084135	0.02121019757567152	0.01999122070350649
UP_SEQ_FEATURE	MUTAGEN:L->M: Inhibits S-nitrosylation of Cys-247; when associated with M-250.	2	12.5	0.0014627722465980358	P04406	16	2	20502	1281.375	0.22485774123084135	0.02121019757567152	0.01999122070350649
UP_SEQ_FEATURE	MUTAGEN:M->L: Drastic reduction of the extent and significant prolongation of the lag phase of free radical-induced aggregation.	2	12.5	0.0014627722465980358	P04406	16	2	20502	1281.375	0.22485774123084135	0.02121019757567152	0.01999122070350649
UP_SEQ_FEATURE	MUTAGEN:T->A: Does not affect glycosylation by C.rodentium protein NleB.	2	12.5	0.0014627722465980358	P04406	16	2	20502	1281.375	0.22485774123084135	0.02121019757567152	0.01999122070350649
UP_SEQ_FEATURE	MUTAGEN:E->M: Inhibits S-nitrosylation of Cys-247; when associated with M-245.	2	12.5	0.0014627722465980358	P04406	16	2	20502	1281.375	0.22485774123084135	0.02121019757567152	0.01999122070350649
UP_SEQ_FEATURE	MUTAGEN:S->A: Does not affect glycosylation by C.rodentium protein NleB.	2	12.5	0.0014627722465980358	P04406	16	2	20502	1281.375	0.22485774123084135	0.02121019757567152	0.01999122070350649
UP_SEQ_FEATURE	MUTAGEN:C->S: Markedly reduced glycolytic activity; when associated with S-152 and S-156. Forms free radical-induced aggregates, but to a lesser extent than wild-type protein; when associated with S-156 and S-247.	2	12.5	0.0014627722465980358	P04406	16	2	20502	1281.375	0.22485774123084135	0.02121019757567152	0.01999122070350649
UP_SEQ_FEATURE	MUTAGEN:Y->F: No effect on free radical-induced aggregation.	2	12.5	0.0014627722465980358	P04406	16	2	20502	1281.375	0.22485774123084135	0.02121019757567152	0.01999122070350649
UP_SEQ_FEATURE	MUTAGEN:C->S: Markedly reduced glycolytic activity; when associated with S-156 and S-247. Forms free radical-induced aggregates, but to a lesser extent than wild-type protein; when associated with S-156 and S-247. Abolished interaction with TRAF2 and TRAF3.	2	12.5	0.0014627722465980358	P04406	16	2	20502	1281.375	0.22485774123084135	0.02121019757567152	0.01999122070350649
UP_SEQ_FEATURE	REGION:Interaction with WARS1	2	12.5	0.0014627722465980358	P04406	16	2	20502	1281.375	0.22485774123084135	0.02121019757567152	0.01999122070350649
